Berlin Time Information,timestamp
"{""time"": ""2025-12-04 17:05:48 CET"", ""timezone"": ""Europe/Berlin"", ""timestamp"": ""2025-12-04T17:05:48.058908+01:00"", ""utc_offset"": ""+0100"", ""day_of_week"": ""Thursday"", ""is_dst"": false}",2025-12-04 17:08:57.879458
"{""time"": ""2025-12-04 17:33:05 CET"", ""timezone"": ""Europe/Berlin"", ""timestamp"": ""2025-12-04T17:33:05.435546+01:00"", ""utc_offset"": ""+0100"", ""day_of_week"": ""Thursday"", ""is_dst"": false}",2025-12-04 17:33:09.651274
